Pathway,Metabolite
Cysteine and methionine metabolism,5'-S-Methyl-5'-thioinosine
Cysteine and methionine metabolism,gamma-L-Glutamyl-L-2-aminobutyrate
Cysteine and methionine metabolism,Ophthalmate
Cysteine and methionine metabolism,S-Methyl-1-thio-D-xylulose 5-phosphate
"Valine, leucine and isoleucine degradation",Acetyl-CoA
"Valine, leucine and isoleucine degradation",Thiamin diphosphate
"Valine, leucine and isoleucine degradation",Succinyl-CoA
"Valine, leucine and isoleucine degradation",Propanoyl-CoA
"Valine, leucine and isoleucine degradation",L-Leucine
"Valine, leucine and isoleucine degradation",3-Methyl-2-oxobutanoic acid
"Valine, leucine and isoleucine degradation",Acetoacetate
"Valine, leucine and isoleucine degradation",L-Valine
"Valine, leucine and isoleucine degradation",4-Methyl-2-oxopentanoate
"Valine, leucine and isoleucine degradation",Acetoacetyl-CoA
"Valine, leucine and isoleucine degradation",2-Methyl-3-oxopropanoate
"Valine, leucine and isoleucine degradation",(S)-3-Hydroxy-3-methylglutaryl-CoA
"Valine, leucine and isoleucine degradation",L-Isoleucine
"Valine, leucine and isoleucine degradation",2-Methylpropanoyl-CoA
"Valine, leucine and isoleucine degradation",(S)-3-Methyl-2-oxopentanoic acid
"Valine, leucine and isoleucine degradation",(S)-Methylmalonyl-CoA
"Valine, leucine and isoleucine degradation",(R)-3-Amino-2-methylpropanoate
"Valine, leucine and isoleucine degradation",(R)-Methylmalonyl-CoA
"Valine, leucine and isoleucine degradation",Methylmalonate
"Valine, leucine and isoleucine degradation",3-Methylbutanoyl-CoA
"Valine, leucine and isoleucine degradation",3-Methylcrotonyl-CoA
"Valine, leucine and isoleucine degradation",3-Methylglutaconyl-CoA
"Valine, leucine and isoleucine degradation",L-3-Aminoisobutanoate
"Valine, leucine and isoleucine degradation",2-Methylacetoacetyl-CoA
"Valine, leucine and isoleucine degradation",2-Methylbut-2-enoyl-CoA
"Valine, leucine and isoleucine degradation",2-Methylprop-2-enoyl-CoA
"Valine, leucine and isoleucine degradation","(2S,3S)-3-Hydroxy-2-methylbutanoyl-CoA"
"Valine, leucine and isoleucine degradation",Branched chain fatty acid
"Valine, leucine and isoleucine degradation",3-Hydroxyisovaleryl-CoA
"Valine, leucine and isoleucine degradation",(S)-3-Hydroxyisobutyryl-CoA
"Valine, leucine and isoleucine degradation",(S)-3-Hydroxyisobutyrate
"Valine, leucine and isoleucine degradation",(S)-Methylmalonate semialdehyde
"Valine, leucine and isoleucine degradation",Enzyme N6-(lipoyl)lysine
"Valine, leucine and isoleucine degradation",Enzyme N6-(dihydrolipoyl)lysine
"Valine, leucine and isoleucine degradation",3-Methyl-1-hydroxybutyl-ThPP
"Valine, leucine and isoleucine degradation",[Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(3-methylbutanoyl)dihydrolipoyllysine
"Valine, leucine and isoleucine degradation",2-Methyl-1-hydroxypropyl-ThPP
"Valine, leucine and isoleucine degradation",[Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylpropanoyl)dihydrolipoyllysine
"Valine, leucine and isoleucine degradation",2-Methyl-1-hydroxybutyl-ThPP
"Valine, leucine and isoleucine degradation",[Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase] S-(2-methylbutanoyl)dihydrolipoyllysine
"Valine, leucine and isoleucine degradation",(S)-2-Methylbutanoyl-CoA
"Valine, leucine and isoleucine degradation",3-Hydroxyisovalerate
"Valine, leucine and isoleucine biosynthesis",Pyruvate
"Valine, leucine and isoleucine biosynthesis",Acetyl-CoA
"Valine, leucine and isoleucine biosynthesis",2-Oxobutanoate
"Valine, leucine and isoleucine biosynthesis",L-Leucine
"Valine, leucine and isoleucine biosynthesis",3-Methyl-2-oxobutanoic acid
"Valine, leucine and isoleucine biosynthesis",L-Valine
"Valine, leucine and isoleucine biosynthesis",L-Threonine
"Valine, leucine and isoleucine biosynthesis",4-Methyl-2-oxopentanoate
"Valine, leucine and isoleucine biosynthesis",L-Isoleucine
"Valine, leucine and isoleucine biosynthesis",(S)-3-Methyl-2-oxopentanoic acid
"Valine, leucine and isoleucine biosynthesis",2-Methylmaleate
"Valine, leucine and isoleucine biosynthesis",alpha-Isopropylmalate
"Valine, leucine and isoleucine biosynthesis",(R)-2-Methylmalate
"Valine, leucine and isoleucine biosynthesis",2-Isopropylmaleate
"Valine, leucine and isoleucine biosynthesis",3-Hydroxy-3-methyl-2-oxobutanoic acid
"Valine, leucine and isoleucine biosynthesis",(2S)-2-Isopropyl-3-oxosuccinate
"Valine, leucine and isoleucine biosynthesis","(R)-2,3-Dihydroxy-3-methylbutanoate"
"Valine, leucine and isoleucine biosynthesis","(2R,3S)-3-Isopropylmalate"
"Valine, leucine and isoleucine biosynthesis",(S)-2-Aceto-2-hydroxybutanoate
"Valine, leucine and isoleucine biosynthesis","(R)-2,3-Dihydroxy-3-methylpentanoate"
"Valine, leucine and isoleucine biosynthesis",(S)-2-Acetolactate
"Valine, leucine and isoleucine biosynthesis",D-erythro-3-Methylmalate
"Valine, leucine and isoleucine biosynthesis",(R)-3-Hydroxy-3-methyl-2-oxopentanoate
Lysine biosynthesis,Acetyl-CoA
Lysine biosynthesis,2-Oxoglutarate
Lysine biosynthesis,L-Lysine
Lysine biosynthesis,L-Aspartate
Lysine biosynthesis,L-Homoserine
Lysine biosynthesis,2-Oxoadipate
Lysine biosynthesis,L-Aspartate 4-semialdehyde
Lysine biosynthesis,"N6-(L-1,3-Dicarboxypropyl)-L-lysine"
Lysine biosynthesis,"LL-2,6-Diaminoheptanedioate"
Lysine biosynthesis,"meso-2,6-Diaminoheptanedioate"
Lysine biosynthesis,L-2-Aminoadipate
Lysine biosynthesis,"(R)-2-Hydroxybutane-1,2,4-tricarboxylate"
Lysine biosynthesis,4-Phospho-L-aspartate
Lysine biosynthesis,L-2-Amino-6-oxoheptanedioate
Lysine biosynthesis,"2,3,4,5-Tetrahydrodipicolinate"
Lysine biosynthesis,"(Z)-But-1-ene-1,2,4-tricarboxylate"
Lysine biosynthesis,L-2-Aminoadipate 6-semialdehyde
Lysine biosynthesis,"N6-Acetyl-LL-2,6-diaminoheptanedioate"
Lysine biosynthesis,"N-Succinyl-LL-2,6-diaminoheptanedioate"
Lysine biosynthesis,N-Succinyl-2-L-amino-6-oxoheptanedioate
Lysine biosynthesis,"UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimelate"
Lysine biosynthesis,UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine
Lysine biosynthesis,alpha-Aminoadipoyl-S-acyl enzyme
Lysine biosynthesis,N-Acetyl-L-2-amino-6-oxopimelate
Lysine biosynthesis,L-2-Aminoadipate adenylate
Lysine biosynthesis,Homoisocitrate
Lysine biosynthesis,L-Pyrrolysine
Lysine biosynthesis,LysW-gamma-L-alpha-aminoadipate
Lysine biosynthesis,LysW-gamma-L-alpha-aminoadipyl 6-phosphate
Lysine biosynthesis,LysW-gamma-L-alpha-aminoadipate 6-semialdehyde
Lysine biosynthesis,LysW-gamma-L-lysine
Lysine biosynthesis,"(2S,4S)-4-Hydroxy-2,3,4,5-tetrahydrodipicolinate"
Lysine biosynthesis,"(2R,3R)-3-Methylornithine"
Lysine biosynthesis,"(2R,3R)-3-Methylornithinyl-N6-lysine"
Lysine biosynthesis,"(2R,3R)-3-Methylglutamyl-5-semialdehyde-N6-lysine"
Lysine degradation,Acetyl-CoA
Lysine degradation,2-Oxoglutarate
Lysine degradation,Glycine
Lysine degradation,Succinate
Lysine degradation,L-Lysine
Lysine degradation,Thiamin diphosphate
Lysine degradation,Butanoyl-CoA
Lysine degradation,Acetoacetate
Lysine degradation,2-Oxoadipate
Lysine degradation,Acetoacetyl-CoA
Lysine degradation,L-Pipecolate
Lysine degradation,5-Aminopentanoate
Lysine degradation,"N6-(L-1,3-Dicarboxypropyl)-L-lysine"
Lysine degradation,"(S)-2,3,4,5-Tetrahydropyridine-2-carboxylate"
Lysine degradation,Carnitine
Lysine degradation,Glutarate
Lysine degradation,Glutaryl-CoA
Lysine degradation,D-Lysine
Lysine degradation,Crotonoyl-CoA
Lysine degradation,L-2-Aminoadipate
Lysine degradation,5-Aminopentanamide
Lysine degradation,(R)-2-Hydroxyglutarate
Lysine degradation,"(3S)-3,6-Diaminohexanoate"
Lysine degradation,(S)-3-Hydroxybutanoyl-CoA
Lysine degradation,4-Trimethylammoniobutanal
Lysine degradation,4-Trimethylammoniobutanoate
Lysine degradation,"(3S,5S)-3,5-Diaminohexanoate"
Lysine degradation,Procollagen 5-hydroxy-L-lysine
Lysine degradation,"(3S)-3-Hydroxy-N6,N6,N6-trimethyl-L-lysine"
Lysine degradation,Cadaverine
Lysine degradation,Protein lysine
Lysine degradation,N6-Acetyl-L-lysine
Lysine degradation,5-Acetamidopentanoate
Lysine degradation,(S)-2-Hydroxyglutarate
Lysine degradation,6-Amino-2-oxohexanoate
Lysine degradation,5-Oxopentanoate
Lysine degradation,5-Phosphooxy-L-lysine
Lysine degradation,(S)-5-Amino-3-oxohexanoic acid
Lysine degradation,"N6,N6,N6-Trimethyl-L-lysine"
Lysine degradation,D-Lysopine
Lysine degradation,L-2-Aminoadipate 6-semialdehyde
Lysine degradation,Delta1-Piperideine-2-carboxylate
Lysine degradation,5-(D-Galactosyloxy)-L-lysine-procollagen
Lysine degradation,"(2R,5S)-2,5-Diaminohexanoate"
Lysine degradation,L-3-Aminobutyryl-CoA
Lysine degradation,Protein N6-methyl-L-lysine
Lysine degradation,"Protein N6,N6-dimethyl-L-lysine"
Lysine degradation,"Protein N6,N6,N6-trimethyl-L-lysine"
Lysine degradation,6-Acetamido-2-oxohexanoate
Lysine degradation,2-Amino-5-oxohexanoate
Lysine degradation,[Dihydrolipoyllysine-residue succinyltransferase] S-glutaryldihydrolipoyllysine
Lysine degradation,5-Aminopentanal
Lysine degradation,Enzyme N6-(lipoyl)lysine
Lysine degradation,Enzyme N6-(dihydrolipoyl)lysine
Lysine degradation,L-Hydroxylysine
Lysine degradation,4-Carboxy-1-hydroxybutyryl-ThPP
Penicillin and cephalosporin biosynthesis,L-Cysteine
Penicillin and cephalosporin biosynthesis,L-Valine
Penicillin and cephalosporin biosynthesis,Penicillin
Penicillin and cephalosporin biosynthesis,Cephalosporin C
Penicillin and cephalosporin biosynthesis,L-2-Aminoadipate
Penicillin and cephalosporin biosynthesis,6-Aminopenicillanate
Penicillin and cephalosporin biosynthesis,Deacetylcephalosporin C
Penicillin and cephalosporin biosynthesis,(7R)-7-(5-Carboxy-5-oxopentanoyl)aminocephalosporinate
Penicillin and cephalosporin biosynthesis,delta-(L-2-Aminoadipyl)-L-cysteinyl-D-valine
Penicillin and cephalosporin biosynthesis,Isopenicillin N
Penicillin and cephalosporin biosynthesis,Penicillin N
Penicillin and cephalosporin biosynthesis,Deacetoxycephalosporin C
Penicillin and cephalosporin biosynthesis,Cephamycin C
Penicillin and cephalosporin biosynthesis,Penicilloic acid
Penicillin and cephalosporin biosynthesis,O-Carbamoyl-deacetylcephalosporin C
Penicillin and cephalosporin biosynthesis,7a-Hydroxy-O-carbamoyl-deacetylcephalosporin C
Penicillin and cephalosporin biosynthesis,7-Aminocephalosporanic acid
Penicillin and cephalosporin biosynthesis,(7R)-7-(4-Carboxybutanamido)cephalosporanate
Arginine and proline metabolism,Peptide
Arginine and proline metabolism,S-Adenosyl-L-methionine
Arginine and proline metabolism,Pyruvate
Arginine and proline metabolism,L-Glutamate
Arginine and proline metabolism,Glyoxylate
Arginine and proline metabolism,L-Arginine
Arginine and proline metabolism,L-Ornithine
Arginine and proline metabolism,Urea
Arginine and proline metabolism,Putrescine
Arginine and proline metabolism,L-Proline
Arginine and proline metabolism,Agmatine
Arginine and proline metabolism,Sarcosine
Arginine and proline metabolism,p-Coumaroyl-CoA
Arginine and proline metabolism,Creatine
Arginine and proline metabolism,Spermidine
Arginine and proline metabolism,4-Aminobutanoate
Arginine and proline metabolism,Feruloyl-CoA
Arginine and proline metabolism,5-Aminopentanoate
Arginine and proline metabolism,N-Carbamoylputrescine
Arginine and proline metabolism,L-Aspartate 4-semialdehyde
Arginine and proline metabolism,Nitric oxide
Arginine and proline metabolism,4-Aminobutyraldehyde
Arginine and proline metabolism,Guanidinoacetate
Arginine and proline metabolism,Spermine
Arginine and proline metabolism,D-Proline
Arginine and proline metabolism,Creatinine
Arginine and proline metabolism,Homocarnosine
Arginine and proline metabolism,"1,3-Diaminopropane"
Arginine and proline metabolism,4-Guanidinobutanoate
Arginine and proline metabolism,N-Carbamoylsarcosine
Arginine and proline metabolism,5-Amino-2-oxopentanoic acid
Arginine and proline metabolism,S-Adenosylmethioninamine
Arginine and proline metabolism,Hydroxyproline
Arginine and proline metabolism,L-Glutamate 5-semialdehyde
Arginine and proline metabolism,N-Acetyl-L-glutamate 5-semialdehyde
Arginine and proline metabolism,Nopaline
Arginine and proline metabolism,Phosphocreatine
Arginine and proline metabolism,N-Methylhydantoin
Arginine and proline metabolism,4-Guanidinobutanal
Arginine and proline metabolism,N-Acetylputrescine
Arginine and proline metabolism,4-Acetamidobutanoate
Arginine and proline metabolism,4-Guanidinobutanamide
Arginine and proline metabolism,Phosphoguanidinoacetate
Arginine and proline metabolism,L-Glutamyl 5-phosphate
Arginine and proline metabolism,N2-Succinyl-L-arginine
Arginine and proline metabolism,Norspermidine
Arginine and proline metabolism,N2-Succinyl-L-ornithine
Arginine and proline metabolism,1-Pyrroline-2-carboxylate
Arginine and proline metabolism,5-Guanidino-2-oxopentanoate
Arginine and proline metabolism,(S)-1-Pyrroline-5-carboxylate
Arginine and proline metabolism,Octopine
Arginine and proline metabolism,L-1-Pyrroline-3-hydroxy-5-carboxylate
Arginine and proline metabolism,trans-3-Hydroxy-L-proline
Arginine and proline metabolism,N-Succinyl-L-glutamate
Arginine and proline metabolism,N-Succinyl-L-glutamate 5-semialdehyde
Arginine and proline metabolism,N(omega)-Hydroxyarginine
Arginine and proline metabolism,N4-Acetylaminobutanal
Arginine and proline metabolism,L-4-Hydroxyglutamate semialdehyde
Arginine and proline metabolism,L-Arginine phosphate
Arginine and proline metabolism,(4R)-4-Hydroxy-2-oxoglutarate
Arginine and proline metabolism,L-erythro-4-Hydroxyglutamate
Arginine and proline metabolism,Feruloylputrescine
Arginine and proline metabolism,gamma-L-Glutamylputrescine
Arginine and proline metabolism,gamma-Glutamyl-gamma-aminobutyraldehyde
Arginine and proline metabolism,4-(L-gamma-Glutamylamino)butanoate
Arginine and proline metabolism,Carboxyspermidine
Arginine and proline metabolism,Carboxynorspermidine
Arginine and proline metabolism,p-Coumaroylputrescine
Arginine and proline metabolism,cis-3-Hydroxy-L-proline
Arginine and proline metabolism,N1-(3-Aminopropyl)agmatine
Arginine and proline metabolism,N1-[(S)-3-amino-3-carboxypropyl]agmatine
Clavulanic acid biosynthesis,L-Arginine
Clavulanic acid biosynthesis,D-Glyceraldehyde 3-phosphate
Clavulanic acid biosynthesis,L-N2-(2-Carboxyethyl)arginine
Clavulanic acid biosynthesis,Deoxyguanidinoproclavaminic acid
Clavulanic acid biosynthesis,Guanidinoproclavaminic acid
Clavulanic acid biosynthesis,Proclavaminic acid
Clavulanic acid biosynthesis,Dihydroclavaminic acid
Clavulanic acid biosynthesis,Clavaminic acid
Clavulanic acid biosynthesis,Clavulanate-9-aldehyde
Clavulanic acid biosynthesis,Clavulanic acid
Carbapenem biosynthesis,CoA
Carbapenem biosynthesis,L-Glutamate
Carbapenem biosynthesis,Malonyl-CoA
Carbapenem biosynthesis,L-Proline
Carbapenem biosynthesis,Pantetheine
Carbapenem biosynthesis,Pantetheine 4'-phosphate
Carbapenem biosynthesis,L-Glutamate 5-semialdehyde
Carbapenem biosynthesis,L-Glutamyl 5-phosphate
Carbapenem biosynthesis,(S)-1-Pyrroline-5-carboxylate
Carbapenem biosynthesis,Thienamycin
Carbapenem biosynthesis,(5R)-Carbapen-2-em-3-carboxylate
Carbapenem biosynthesis,Epithienamycin E
Carbapenem biosynthesis,"(2S,5S)-trans-Carboxymethylproline"
Carbapenem biosynthesis,"(3S,5S)-Carbapenam-3-carboxylic acid"
Carbapenem biosynthesis,8-Dehydroxythienamycin
Carbapenem biosynthesis,Northienamycin
Carbapenem biosynthesis,PS-5
Carbapenem biosynthesis,OA-6129 B1
Carbapenem biosynthesis,OA-6129 B2
Carbapenem biosynthesis,N-Acetylthienamycin
Carbapenem biosynthesis,Epithienamycin F
Carbapenem biosynthesis,OA-6129 A
Carbapenem biosynthesis,OA-6129 C
Carbapenem biosynthesis,MM 4550
Carbapenem biosynthesis,Deacetylepithienamycin F
Carbapenem biosynthesis,C20818
Carbapenem biosynthesis,C20819
Carbapenem biosynthesis,"2,3-Dihydrothienamycin"
Carbapenem biosynthesis,C20821
Carbapenem biosynthesis,C20822
Carbapenem biosynthesis,C20823
Carbapenem biosynthesis,"(2R,3R,5R)-2-(S-Pantetheinyl)-carbapenam-3-carboxylate"
Carbapenem biosynthesis,"(2R,3R,5S,6R)-6-(Methyl)-2-(S-pantetheinyl)-carbapenam-3-carboxylate"
Carbapenem biosynthesis,"(2R,3R,5S,6R)-6-(Ethyl)-2-(S-pantetheinyl)-carbapenam-3-carboxylate"
Carbapenem biosynthesis,C23073
Prodigiosin biosynthesis,Malonyl-CoA
Prodigiosin biosynthesis,L-Proline
Prodigiosin biosynthesis,Dodecanoic acid
Prodigiosin biosynthesis,Dodecanoyl-[acyl-carrier protein]
Prodigiosin biosynthesis,Undecylprodigiosin
Prodigiosin biosynthesis,L-Prolyl-[pcp]
Prodigiosin biosynthesis,Pyrrole-2-carbonyl-[pcp]
Prodigiosin biosynthesis,trans-2-Octenal
Prodigiosin biosynthesis,(S)-3-Acetyloctanal
Prodigiosin biosynthesis,Prodigiosin
Prodigiosin biosynthesis,Pyrrolyl-2-carboxyl-S-[acyl-carrier protein]
Prodigiosin biosynthesis,"4-Hydroxy-2,2'-bipyrrole-5-methanol"
Prodigiosin biosynthesis,"4-Hydroxy-2,2'-bipyrrole-5-carbaldehyde"
Prodigiosin biosynthesis,"4-Methoxy-2,2'-bipyrrole-5-carbaldehyde"
Prodigiosin biosynthesis,2-Methyl-3-n-amyl-dihydropyrrole
Prodigiosin biosynthesis,2-Methyl-3-n-amyl-pyrrole
Prodigiosin biosynthesis,4-Keto-2-undecylpyrroline
Prodigiosin biosynthesis,2-Undecylpyrrole
Histidine metabolism,L-Glutamate
Histidine metabolism,2-Oxoglutarate
Histidine metabolism,L-Aspartate
Histidine metabolism,5-Phospho-alpha-D-ribose 1-diphosphate
Histidine metabolism,L-Histidine
Histidine metabolism,Carnosine
Histidine metabolism,Histamine
Histidine metabolism,N-Formimino-L-glutamate
Histidine metabolism,Urocanate
Histidine metabolism,L-Histidinol
Histidine metabolism,N-Formyl-L-aspartate
Histidine metabolism,N-Formyl-L-glutamate
Histidine metabolism,L-Histidinol phosphate
Histidine metabolism,N(pi)-Methyl-L-histidine
Histidine metabolism,beta-Alanyl-N(pi)-methyl-L-histidine
Histidine metabolism,3-(Imidazol-4-yl)-2-oxopropyl phosphate
Histidine metabolism,L-Histidinal
Histidine metabolism,1-(5-Phospho-D-ribosyl)-ATP
Histidine metabolism,Phosphoribosyl-AMP
Histidine metabolism,Imidazole-4-acetate
Histidine metabolism,Imidazol-5-yl-pyruvate
Histidine metabolism,N-Formimino-L-aspartate
Histidine metabolism,4-Imidazolone-5-propanoate
Histidine metabolism,1-(5-Phosphoribosyl)imidazole-4-acetate
Histidine metabolism,D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate
Histidine metabolism,1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide
Histidine metabolism,5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide
Histidine metabolism,N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide
Histidine metabolism,N-Methylhistamine
Histidine metabolism,Imidazole-4-acetaldehyde
Histidine metabolism,(1-Ribosylimidazole)-4-acetate
Histidine metabolism,4-Imidazolone-5-acetate
Histidine metabolism,4-(beta-Acetylaminoethyl)imidazole
Histidine metabolism,Hydantoin-5-propionate
Histidine metabolism,Imidazole lactate
Histidine metabolism,Ergothioneine
Histidine metabolism,Thiourocanic acid
Histidine metabolism,4-Oxoglutaramate
Histidine metabolism,Hercynine
Histidine metabolism,Methylimidazole acetaldehyde
Histidine metabolism,Methylimidazoleacetic acid
Histidine metabolism,N-Carbamyl-L-glutamate
Histidine metabolism,Isoglutamine
Histidine metabolism,Formylisoglutamine
Histidine metabolism,Dihydrourocanate
Histidine metabolism,S-(Hercyn-2-yl)-L-cysteine S-oxide
Histidine metabolism,gamma-L-Glutamyl-S-(hercyn-2-yl)-L-cysteine S-oxide
Tyrosine metabolism,Pyruvate
Tyrosine metabolism,Succinate
Tyrosine metabolism,L-Tyrosine
Tyrosine metabolism,Fumarate
Tyrosine metabolism,Phenol
Tyrosine metabolism,Acetoacetate
Tyrosine metabolism,Succinate semialdehyde
Tyrosine metabolism,"3,4-Dihydroxy-L-phenylalanine"
Tyrosine metabolism,Tyramine
Tyrosine metabolism,Hydroquinone
Tyrosine metabolism,Homogentisate
Tyrosine metabolism,L-Noradrenaline
Tyrosine metabolism,"2,5-Dihydroxybenzoate"
Tyrosine metabolism,4-Hydroxyphenylacetate
Tyrosine metabolism,L-Adrenaline
Tyrosine metabolism,4-Coumarate
Tyrosine metabolism,Dopaquinone
Tyrosine metabolism,4-Maleylacetoacetate
Tyrosine metabolism,"3,5-Diiodo-L-tyrosine"
Tyrosine metabolism,4-Fumarylacetoacetate
Tyrosine metabolism,"3,4-Dihydroxyphenylacetate"
Tyrosine metabolism,3-(4-Hydroxyphenyl)pyruvate
Tyrosine metabolism,Maleic acid
Tyrosine metabolism,L-Dopachrome
Tyrosine metabolism,Thyroxine
Tyrosine metabolism,Rosmarinate
Tyrosine metabolism,Maleylpyruvate
Tyrosine metabolism,N-Methyltyramine
Tyrosine metabolism,Triiodothyronine
Tyrosine metabolism,3-Fumarylpyruvate
Tyrosine metabolism,3-Iodo-L-tyrosine
Tyrosine metabolism,2-Oxohept-3-enedioate
Tyrosine metabolism,4-Chlorophenylacetate
Tyrosine metabolism,Dopamine
Tyrosine metabolism,4-Hydroxyphenylacetaldehyde
Tyrosine metabolism,(R)-3-(4-Hydroxyphenyl)lactate
Tyrosine metabolism,"3,4-Dihydroxyphenylacetaldehyde"
Tyrosine metabolism,"3-(3,4-Dihydroxyphenyl)pyruvate"
Tyrosine metabolism,5-Carboxy-2-oxohept-3-enedioate
Tyrosine metabolism,"5,6-Dihydroxyindole-2-carboxylate"
Tyrosine metabolism,5-Carboxymethyl-2-hydroxymuconate
Tyrosine metabolism,3-Amino-3-(4-hydroxyphenyl)propanoate
Tyrosine metabolism,2-Hydroxy-5-carboxymethylmuconate semialdehyde
Tyrosine metabolism,"4-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde"
Tyrosine metabolism,"5-(L-Alanin-3-yl)-2-hydroxy-cis,cis-muconate 6-semialdehyde"
Tyrosine metabolism,4-Hydroxyphenylacetyl-CoA
Tyrosine metabolism,2-Hydroxy-3-(4-hydroxyphenyl)propenoate
Tyrosine metabolism,"3,4-Dihydroxyphenylethyleneglycol"
Tyrosine metabolism,"3,4-Dihydroxymandelaldehyde"
Tyrosine metabolism,"5,6-Dihydroxyindole"
Tyrosine metabolism,"Indole-5,6-quinone"
Tyrosine metabolism,"3,4-Dihydroxymandelate"
Tyrosine metabolism,3-Methoxy-4-hydroxyphenylacetaldehyde
Tyrosine metabolism,Homovanillate
Tyrosine metabolism,3-Methoxy-4-hydroxyphenylglycolaldehyde
Tyrosine metabolism,3-Methoxy-4-hydroxymandelate
Tyrosine metabolism,Gentisate aldehyde
Tyrosine metabolism,3-Methoxytyramine
Tyrosine metabolism,L-Metanephrine
Tyrosine metabolism,L-Normetanephrine
Tyrosine metabolism,3-Hydroxyphenylacetate
Tyrosine metabolism,3-Methoxy-4-hydroxyphenylethyleneglycol
Tyrosine metabolism,4-Hydroxyphenylacetylglutamic acid
Tyrosine metabolism,p-Hydroxyphenylacetylglycine
Tyrosine metabolism,"2-Hydroxyhepta-2,4-dienedioate"
Tyrosine metabolism,"2-Carboxy-2,3-dihydro-5,6-dihydroxyindole"
Tyrosine metabolism,4-Hydroxyphenylethanol
Tyrosine metabolism,Salidroside
Tyrosine metabolism,Stizolobate
Tyrosine metabolism,Stizolobinate
Tyrosine metabolism,Hordenine
Tyrosine metabolism,"2,4-Dihydroxyhept-2-enedioate"
Tyrosine metabolism,"3,4-Dihydroxyphenylpropanoate"
Tyrosine metabolism,Cysteinyldopa
Tyrosine metabolism,Phaeomelanin
Tyrosine metabolism,Eumelanin
Tyrosine metabolism,"5,6-Indolequinone-2-carboxylic acid"
Tyrosine metabolism,"(R)-3-(3,4-Dihydroxyphenyl)lactate"
Tyrosine metabolism,Atromentin
Phenylalanine metabolism,Pyruvate
Phenylalanine metabolism,Acetyl-CoA
Phenylalanine metabolism,Succinate
Phenylalanine metabolism,L-Phenylalanine
Phenylalanine metabolism,L-Tyrosine
Phenylalanine metabolism,Acetaldehyde
Phenylalanine metabolism,Succinyl-CoA
Phenylalanine metabolism,Fumarate
Phenylalanine metabolism,Phenylpyruvate
Phenylalanine metabolism,trans-Cinnamate
Phenylalanine metabolism,Benzoyl-CoA
Phenylalanine metabolism,Phenylacetyl-CoA
Phenylalanine metabolism,"2-Hydroxy-2,4-pentadienoate"
Phenylalanine metabolism,Phenylacetaldehyde
Phenylalanine metabolism,4-Hydroxyphenylacetate
Phenylalanine metabolism,3-(2-Hydroxyphenyl)propanoate
Phenylalanine metabolism,trans-2-Hydroxycinnamate
Phenylalanine metabolism,alpha-Oxo-benzeneacetic acid
Phenylalanine metabolism,3-Oxoadipyl-CoA
Phenylalanine metabolism,D-Phenylalanine
Phenylalanine metabolism,2-Phenylacetamide
Phenylalanine metabolism,2-Hydroxy-3-phenylpropenoate
Phenylalanine metabolism,N-Acetyl-L-phenylalanine
Phenylalanine metabolism,4-Hydroxy-2-oxopentanoate
Phenylalanine metabolism,"3-(2,3-Dihydroxyphenyl)propanoate"
Phenylalanine metabolism,Phenylacetylglutamine
Phenylalanine metabolism,"2-Hydroxy-6-oxonona-2,4-diene-1,9-dioate"
Phenylalanine metabolism,Phenethylamine
Phenylalanine metabolism,3-Hydroxyphenylacetate
Phenylalanine metabolism,Phenylacetylglycine
Phenylalanine metabolism,Phenyllactate
Phenylalanine metabolism,Phenylpropanoate
Phenylalanine metabolism,2-Hydroxyphenylacetate
Phenylalanine metabolism,Phenylethyl alcohol
Phenylalanine metabolism,"2,6-Dihydroxyphenylacetate"
Phenylalanine metabolism,Phenylacetic acid
Phenylalanine metabolism,3-(3-Hydroxyphenyl)propanoic acid
Phenylalanine metabolism,"cis-3-(Carboxy-ethyl)-3,5-cyclo-hexadiene-1,2-diol"
Phenylalanine metabolism,trans-3-Hydroxycinnamate
Phenylalanine metabolism,"cis-3-(3-Carboxyethenyl)-3,5-cyclohexadiene-1,2-diol"
Phenylalanine metabolism,"trans-2,3-Dihydroxycinnamate"
Phenylalanine metabolism,2-Hydroxy-6-ketononatrienedioate
Phenylalanine metabolism,5-Carboxy-2-pentenoyl-CoA
Phenylalanine metabolism,(3S)-3-Hydroxyadipyl-CoA
Phenylalanine metabolism,Phenylglyoxylyl-CoA
Phenylalanine metabolism,"3-Oxo-5,6-dehydrosuberyl-CoA"
Phenylalanine metabolism,"3-Oxo-5,6-dehydrosuberyl-CoA semialdehyde"
